what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.github.ui,1.0.0.201106220257-r,"org.eclipse.mylyn.github.ui",1362874106899
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1362874106899
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1362874106901
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1362874106901
os,sysinfo,,,"linux",1362874106915
arch,sysinfo,,,"x86",1362874106915
ws,sysinfo,,,"gtk",1362874106915
locale,sysinfo,,,"en_US",1362874106915
processors,sysinfo,,,"2",1362874106915
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1362874106915
java.runtime.version,sysinfo,,,"1.7.0_15-b20",1362874106915
java.specification.name,sysinfo,,,"Java Platform API Specification",1362874106915
java.specification.vendor,sysinfo,,,"Oracle Corporation",1362874106915
java.specification.version,sysinfo,,,"1.7",1362874106915
java.vendor,sysinfo,,,"Oracle Corporation",1362874106915
java.version,sysinfo,,,"1.7.0_15",1362874106915
java.vm.info,sysinfo,,,"mixed mode, sharing",1362874106915
java.vm.name,sysinfo,,,"OpenJDK Client VM",1362874106915
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362874106915
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1362874106915
java.vm.specification.version,sysinfo,,,"1.7",1362874106915
java.vm.vendor,sysinfo,,,"Oracle Corporation",1362874106915
java.vm.version,sysinfo,,,"23.7-b01",1362874106915
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1362874127892
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1362874127899
closed,view,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.internal.introview",1362874127934
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874136691
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.103.v201101271715,"org.eclipse.wst.common.project.facet.ui",1362874156593
started,bundle,org.eclipse.wst.web.ui,1.1.301.v201001252130,"org.eclipse.wst.web.ui",1362874156596
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1362874156599
started,bundle,org.eclipse.jst.j2ee.web,1.1.301.v200911302230,"org.eclipse.jst.j2ee.web",1362874156630
error,log,,,"Project facet jst.webfragment has not been defined. It is used in plugin org.eclipse.jst.server.tomcat.core.",1362874156643
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1362874156730
started,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.301.v201002100300,"org.eclipse.tptp.platform.profile.server.wst",1362874156759
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1362874156774
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1362874156812
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1362874156835
started,bundle,org.eclipse.jst.common.frameworks,1.1.301.v201001252130,"org.eclipse.jst.common.frameworks",1362874157604
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.201.v201001221931,"org.eclipse.wst.jsdt.web.core",1362874245406
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1362874245581
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.301.v201001252130,"org.eclipse.jst.j2ee.navigator.ui",1362874245594
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1362874245984
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1362874246328
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1362874246357
